2024-05-19;17:08:44.968183;[1] PING;2024-05-19;17:08:45.343180;[4:1] PONG (1)
2024-05-19;17:08:46.027180;[2] PING;2024-05-19;17:08:46.691181;[6:2] PONG (1)
2024-05-19;17:08:46.389181;[3] PING;2024-05-19;17:08:46.896216;[7:3] PONG (1)
2024-05-19;17:08:48.506180;[4] PING;2024-05-19;17:08:49.156184;[11:4] PONG (1)
2024-05-19;17:08:50.282180;[5] PING;2024-05-19;17:08:50.502180;[14:5] PONG (1)
2024-05-19;17:08:50.900180;[6] PING;2024-05-19;17:08:51.656180;[16:6] PONG (1)
2024-05-19;17:08:53.240182;[7] PING;2024-05-19;17:08:53.824180;[19:7] PONG (1)
2024-05-19;17:08:54.096180;[8] PING;2024-05-19;17:08:55.090184;[22:8] PONG (1)
2024-05-19;17:08:54.692182;[9] PING;2024-05-19;17:08:55.250180;[23:9] PONG (1)
2024-05-19;17:08:57.611214;[10] PING;2024-05-19;17:08:58.289217;[26:10] PONG (1)
2024-05-19;17:08:58.967181;[11] PING;2024-05-19;17:08:59.107182;[27:11] PONG (1)
2024-05-19;17:09:01.583182;[12] PING;2024-05-19;17:09:02.199182;[31:12] PONG (1)
2024-05-19;17:09:03.251181;[13] PING;2024-05-19;17:09:04.193210;[34:13] PONG (1)
2024-05-19;17:09:04.193210;[14] PING;2024-05-19;17:09:06.414214;таймаут
2024-05-19;17:09:05.674215;[15] PING;2024-05-19;17:09:06.414214;[38:15] PONG (1)
2024-05-19;17:09:07.721180;[16] PING;2024-05-19;17:09:07.938218;[40:16] PONG (1)
2024-05-19;17:09:08.636214;[17] PING;2024-05-19;17:09:08.810214;[41:17] PONG (1)
2024-05-19;17:09:09.312213;[18] PING;2024-05-19;17:09:09.610214;[43:18] PONG (1)
2024-05-19;17:09:12.055180;[19] PING;2024-05-19;17:09:12.167181;[48:19] PONG (1)
2024-05-19;17:09:12.685214;[20] PING;2024-05-19;17:09:13.395214;[50:20] PONG (1)
2024-05-19;17:09:13.838180;[21] PING;2024-05-19;17:09:15.003212;таймаут
2024-05-19;17:09:14.812214;[22] PING;2024-05-19;17:09:15.003212;[53:22] PONG (1)
2024-05-19;17:09:15.239213;[23] PING;2024-05-19;17:09:15.457183;[55:23] PONG (1)
2024-05-19;17:09:15.553180;[24] PING;2024-05-19;17:09:16.389188;[56:24] PONG (1)
2024-05-19;17:09:15.868180;[25] PING;2024-05-19;17:09:17.281213;[58:25] PONG (1)
2024-05-19;17:09:16.199214;[26] PING;2024-05-19;17:09:18.131180;[59:26] PONG (1)
2024-05-19;17:09:17.533222;[27] PING;2024-05-19;17:09:18.637182;[60:27] PONG (1)
2024-05-19;17:09:19.346214;[28] PING;2024-05-19;17:09:19.586215;[62:28] PONG (1)
2024-05-19;17:09:20.882215;[29] PING;2024-05-19;17:09:22.226216;таймаут
2024-05-19;17:09:21.836180;[30] PING;2024-05-19;17:09:22.226216;[66:30] PONG (1)
2024-05-19;17:09:23.309181;[31] PING;2024-05-19;17:09:25.081180;таймаут
2024-05-19;17:09:24.358215;[32] PING;2024-05-19;17:09:25.081180;[70:32] PONG (1)
2024-05-19;17:09:27.282214;[33] PING;2024-05-19;17:09:27.726217;[74:33] PONG (1)
2024-05-19;17:09:29.365192;[34] PING;2024-05-19;17:09:29.692214;[77:34] PONG (1)
2024-05-19;17:09:31.683184;[35] PING;2024-05-19;17:09:32.649182;таймаут
2024-05-19;17:09:32.479213;[36] PING;2024-05-19;17:09:32.649182;[81:36] PONG (1)
2024-05-19;17:09:33.695216;[37] PING;2024-05-19;17:09:34.148180;[83:37] PONG (1)
2024-05-19;17:09:35.242215;[38] PING;2024-05-19;17:09:35.594217;[87:38] PONG (1)
2024-05-19;17:09:37.606181;[39] PING;2024-05-19;17:09:38.534181;[89:39] PONG (1)
2024-05-19;17:09:39.586214;[40] PING;2024-05-19;17:09:40.577184;[93:40] PONG (1)
2024-05-19;17:09:40.607183;[41] PING;2024-05-19;17:09:43.477184;таймаут
2024-05-19;17:09:43.367183;[42] PING;2024-05-19;17:09:43.477184;[95:42] PONG (1)
2024-05-19;17:09:46.290180;[43] PING;2024-05-19;17:09:47.031213;[99:43] PONG (1)
2024-05-19;17:09:47.870180;[44] PING;2024-05-19;17:09:48.691180;[102:44] PONG (1)
2024-05-19;17:09:50.234183;[45] PING;2024-05-19;17:09:50.860180;[106:45] PONG (1)
2024-05-19;17:09:50.830208;[46] PING;2024-05-19;17:09:52.688180;таймаут
2024-05-19;17:09:51.827182;[47] PING;2024-05-19;17:09:52.688180;[108:47] PONG (1)
2024-05-19;17:09:54.479180;[48] PING;2024-05-19;17:09:56.308214;таймаут
2024-05-19;17:09:55.543214;[49] PING;2024-05-19;17:09:56.308214;[114:49] PONG (1)
2024-05-19;17:09:57.636180;[50] PING;2024-05-19;17:10:00.343180;таймаут
2024-05-19;17:10:00.201214;[51] PING;2024-05-19;17:10:00.343180;[119:51] PONG (1)
2024-05-19;17:10:01.101215;[52] PING;2024-05-19;17:10:04.405180;таймаут
2024-05-19;17:10:03.599180;[53] PING;2024-05-19;17:10:04.405180;[121:53] PONG (1)
2024-05-19;17:10:06.175180;[54] PING;2024-05-19;17:10:06.994181;[127:54] PONG (1)
2024-05-19;17:10:08.443213;[55] PING;2024-05-19;17:10:09.389214;[129:55] PONG (1)
2024-05-19;17:10:10.034211;[56] PING;2024-05-19;17:10:10.270214;[132:56] PONG (1)
2024-05-19;17:10:12.095218;[57] PING;2024-05-19;17:10:12.953212;[134:57] PONG (1)
2024-05-19;17:10:13.881213;[58] PING;2024-05-19;17:10:16.912180;таймаут
2024-05-19;17:10:15.901213;[59] PING;2024-05-19;17:10:16.912180;[138:59] PONG (1)
2024-05-19;17:10:18.242219;[60] PING;2024-05-19;17:10:19.187183;[141:60] PONG (1)
2024-05-19;17:10:18.702180;[61] PING;2024-05-19;17:10:19.817181;[142:61] PONG (1)
2024-05-19;17:10:20.755182;[62] PING;2024-05-19;17:10:21.353214;таймаут
2024-05-19;17:10:21.070183;[63] PING;2024-05-19;17:10:21.353214;[146:63] PONG (1)
2024-05-19;17:10:23.642182;[64] PING;2024-05-19;17:10:24.577185;[148:64] PONG (1)
2024-05-19;17:10:24.577185;[65] PING;2024-05-19;17:10:25.300180;[151:65] PONG (1)
2024-05-19;17:10:25.837182;[66] PING;2024-05-19;17:10:26.607183;[153:66] PONG (1)
2024-05-19;17:10:28.594180;[67] PING;2024-05-19;17:10:28.723182;[154:67] PONG (1)
2024-05-19;17:10:30.355181;[68] PING;2024-05-19;17:10:30.772180;[159:68] PONG (1)
2024-05-19;17:10:32.141182;[69] PING;2024-05-19;17:10:33.041180;[161:69] PONG (1)
2024-05-19;17:10:33.749180;[70] PING;2024-05-19;17:10:34.111213;[162:70] PONG (1)
2024-05-19;17:10:34.439215;[71] PING;2024-05-19;17:10:34.691214;[164:71] PONG (1)
2024-05-19;17:10:35.381212;[72] PING;2024-05-19;17:10:36.119213;[167:72] PONG (1)
2024-05-19;17:10:36.681214;[73] PING;2024-05-19;17:10:38.842213;таймаут
2024-05-19;17:10:38.011212;[74] PING;2024-05-19;17:10:38.842213;[171:74] PONG (1)
2024-05-19;17:10:40.575211;[75] PING;2024-05-19;17:10:40.983180;[174:75] PONG (1)
2024-05-19;17:10:42.279215;[76] PING;2024-05-19;17:10:42.880215;[177:76] PONG (1)
2024-05-19;17:10:43.040214;[77] PING;2024-05-19;17:10:43.357183;[178:77] PONG (1)
2024-05-19;17:10:43.420215;[78] PING;2024-05-19;17:10:44.350214;[179:78] PONG (1)
2024-05-19;17:10:44.902217;[79] PING;2024-05-19;17:10:45.862215;[184:79] PONG (1)
2024-05-19;17:10:45.862215;[80] PING;2024-05-19;17:10:46.652215;[186:80] PONG (1)
2024-05-19;17:10:46.370213;[81] PING;2024-05-19;17:10:46.826213;[187:81] PONG (1)
2024-05-19;17:10:47.848216;[82] PING;2024-05-19;17:10:48.832213;[189:82] PONG (1)
2024-05-19;17:10:49.899180;[83] PING;2024-05-19;17:10:50.482179;[194:83] PONG (1)
2024-05-19;17:10:50.354180;[84] PING;2024-05-19;17:10:53.003181;таймаут
2024-05-19;17:10:51.172180;[85] PING;2024-05-19;17:10:53.003181;таймаут
